2001;Septiembre
2001;Diciembre
2001;Diciembre
2002;Mayo
2002;Mayo
2003;Mayo
2004;Febrero
2004;Febrero
2005;Marzo
2005;Marzo
2005;Marzo
2005;Marzo
2005;Noviembre
2006;Enero
2006;Febrero
2006;Noviembre
2006;Noviembre
2006;Noviembre
2007;Agosto
2007;Agosto
2007;Agosto
2008;Agosto
2008;Agosto
2009;Agosto
2010;Noviembre
2011;Junio
2011;Junio
1983;Julio
1984;Julio
1985;Diciembre
1986;Diciembre
1986;Diciembre
1986;Diciembre
1988;Diciembre
1988;Diciembre
1990;Diciembre
1990;Diciembre
1992;Marzo
1992;Marzo
1992;Abril
1992;Abril
1992;Agosto
1992;Agosto
1993;Julio
1993;Julio
1994;Julio
1994;Julio
1994;Noviembre
1994;Noviembre
1994;Diciembre
1994;Diciembre
1996;Abril
1996;Abril
1997;Mayo
1997;Mayo
1998;Enero
1998;Enero
1998;Agosto
1998;Agosto
1999;Abril
1999;Abril
1999;Octubre
1999;Octubre
2000;Octubre
2000;Octubre
2001;Julio
2001;Julio
2001;Octubre
2001;Octubre
2001;Noviembre
2001;Noviembre
2002;Mayo
2002;Mayo
2002;Mayo
2002;Mayo
2003;Junio
2003;Junio
2003;Junio
2003;Junio
2004;Febrero
2004;Febrero
2004;Febrero
2005;Marzo
2005;Marzo
2005;Noviembre
2005;Noviembre
2006;Enero
2006;Febrero
2006;Febrero
2006;Noviembre
2006;Noviembre
2007;Agosto
2007;Agosto
2008;Agosto
2008;Agosto
2009;Agosto
2009;Agosto
2010;Julio
2010;Julio
1986;Agosto
1987;Agosto
1988;Agosto
1990;Enero
1990;Enero
1990;Enero
1992;Enero
1992;Enero
1993;Enero
1993;Enero
1994;Enero
1994;Enero
1994;Julio
1994;Julio
1995;Enero
1995;Enero
1993;Julio
1994;Enero
1993;.?..???
pagina 201;
1995;Marzo
1995;Marzo
1995;Julio
1996;Marzo
1996;Marzo
1997;Enero
1997;Enero
1997;Octubre
1997;Octubre
1998;Abril
1998;Abril
1999;Julio
1999;Julio
1999;Octubre
1999;Octubre
2001;Noviembre
2001;Noviembre
2001;Diciembre
2001;Diciembre
2002;Mayo
2002;Mayo
2003;Junio
2004;Febrero
2005;Noviembre
2006;Febrero
2006;Noviembre
2007;Agosto
2008;Agosto
2009;Agosto
2010;Julio
1992;Santafe de Bogota
